ds,yhat
2021-01-01,27.63056596499654
2021-01-02,27.40017971926052
2021-01-03,26.78309996463901
2021-01-04,26.81948113818912
2021-01-05,27.475609157370883
2021-01-06,27.84711596213804
2021-01-07,28.1826112373582
2021-01-08,28.3684777307649
2021-01-09,28.243323297423352
2021-01-10,27.73430367726149
2021-01-11,27.878975664681075
2021-01-12,28.64097001729044
2021-01-13,29.113292344514303
2021-01-14,29.542040224111307
2021-01-15,29.811280252660566
2021-01-16,29.75757557261483
2021-01-17,29.306375494776304
2021-01-18,29.493924762091517
2021-01-19,30.282980028386632
2021-01-20,30.766140413715096
2021-01-21,31.18957944188194
2021-01-22,31.437921589233994
2021-01-23,31.348753990279384
2021-01-24,30.848985401465757
2021-01-25,30.976710915944203
2021-01-26,31.69687138481638
2021-01-27,32.104516180552146
2021-01-28,32.44845871941562
2021-01-29,32.616070355197174
2021-01-30,32.44770577139258
2021-01-31,31.87297467324189
2021-02-01,31.932521007669557
2021-02-02,32.5936013523736
2021-02-03,32.95327366293684
2021-02-04,33.261988136251745
2021-02-05,33.408327859784336
2021-02-06,33.23339408724903
2021-02-07,32.66705222536683
2021-02-08,32.74970067115816
2021-02-09,33.447854486881795
2021-02-10,33.85735503457418
2021-02-11,34.22699675070904
2021-02-12,34.44331769126503
2021-02-13,34.345047208193186
2021-02-14,33.859424999176795
2021-02-15,34.0240514204608
2021-02-16,34.802558625761534
2021-02-17,35.287910963333736
2021-02-18,35.72612303651532
2021-02-19,36.00113924882495
2021-02-20,35.94936544176731
2021-02-21,35.49606425485417
2021-02-22,35.677271705796855
2021-02-23,36.45552245622053
2021-02-24,36.92319045640475
2021-02-25,37.32623204893024
2021-02-26,37.54907448208194
2021-02-27,37.42914005396909
2021-02-28,36.89321762665072
2021-03-01,36.979339613417615
2021-03-02,37.65245298900275
2021-03-03,38.00769254889465
2021-03-04,38.2940454343395
2021-03-05,38.39915215757795
2021-03-06,38.16373691191615
2021-03-07,37.517881673271255
2021-03-08,37.50280508530989
2021-03-09,38.08643760204505
2021-03-10,38.36660398619357
2021-03-11,38.59460491342377
2021-03-12,38.65994543009684
2021-03-13,38.40470526531266
2021-03-14,37.759767358232295
2021-03-15,37.76656702264447
2021-03-16,38.39265419415808
2021-03-17,38.73488033109725
2021-03-18,39.04300168379639
2021-03-19,39.20444613387885
2021-03-20,39.05873756321872
2021-03-21,38.53379260494273
2021-03-22,38.66775027211448
2021-03-23,39.42462461161034
2021-03-24,39.89758936219965
2021-03-25,40.332683515652285
2021-03-26,40.613682027597626
2021-03-27,40.57662263125259
2021-03-28,40.14620063676651
2021-03-29,40.35768936728297
2021-03-30,41.17267374399434
2021-03-31,41.68240365132704
2021-04-01,42.131553990367216
2021-04-02,42.40313409256121
2021-04-03,42.33303633490315
2021-04-04,41.846435223135
2021-04-05,41.97969449158397
2021-04-06,42.69607014609586
2021-04-07,43.08901699935192
2021-04-08,43.40588700123313
2021-04-09,43.53276386533442
2021-04-10,43.30892604160305
2021-04-11,42.66315182398
2021-04-12,42.63552690202122
2021-04-13,43.19304519882835
2021-04-14,43.43281352874535
2021-04-15,43.60565134068081
2021-04-16,43.60083290213518
2021-04-17,43.2604666601854
2021-04-18,42.51572781942361
2021-04-19,42.40860675623321
2021-04-20,42.90746547863943
2021-04-21,43.11021398268966
2021-04-22,43.26789843967646
2021-04-23,43.269448757269
2021-04-24,42.95607990032413
2021-04-25,42.25756232207655
2021-04-26,42.21402255798394
2021-04-27,42.791564729608126
2021-04-28,43.08552256466008
2021-04-29,43.34413147036085
2021-04-30,43.4533655404076
2021-05-01,43.251431062071184
2021-05-02,42.66512898549399
2021-05-03,42.73174453858517
2021-05-04,43.4147519744298
2021-05-05,43.807141490554905
2021-05-06,44.15515556347493
2021-05-07,44.34317762920429
2021-05-08,44.208263131329325
2021-05-09,43.67652430645828
2021-05-10,43.78502628514396
2021-05-11,44.49748239603485
2021-05-12,44.90755612302994
2021-05-13,45.26255786683518
2021-05-14,45.44828081923116
2021-05-15,45.30346777673045
2021-05-16,44.75612244007271
2021-05-17,44.84532525835465
2021-05-18,45.53684441297288
2021-05-19,45.9263522406339
2021-05-20,46.26303814876231
2021-05-21,46.43436519437498
2021-05-22,46.28046488450192
2021-05-23,45.73038626532016
2021-05-24,45.82386156302799
2021-05-25,46.52688082756743
2021-05-26,46.93488728383692
2021-05-27,47.29638537423644
2021-05-28,47.497709077234006
2021-05-29,47.37744494068421
2021-05-30,46.86272523458421
2021-05-31,46.99105231991456
2021-06-01,47.7259450043152
2021-06-02,48.16021648218976
2021-06-03,48.53967334523822
2021-06-04,48.74798044077695
2021-06-05,48.6211829816821
2021-06-06,48.08409814163074
2021-06-07,48.172234021473855
2021-06-08,48.84752360578143
2021-06-09,49.201680312568456
2021-06-10,49.47996187956512
2021-06-11,49.56608496160102
2021-06-12,49.2967798590278
2021-06-13,48.59819611304952
2021-06-14,48.50781589550129
2021-06-15,48.990162431266896
2021-06-16,49.140110273923966
2021-06-17,49.206584997397385
2021-06-18,49.07739608480742
2021-06-19,48.59369439602917
2021-06-20,47.68626741710275
2021-06-21,47.397332127036826
2021-06-22,47.69611599018174
2021-06-23,47.6820364360812
2021-06-24,47.60827010240594
2021-06-25,47.366459400507296
2021-06-26,46.80105152243466
2021-06-27,45.84548665720213
2021-06-28,45.5438986040223
2021-06-29,45.866621218564745
2021-06-30,45.91331357809814
2021-07-01,45.93649711511412
2021-07-02,45.826253660351526
2021-07-03,45.42458024819821
2021-07-04,44.66161753088551
2021-07-05,44.57741433407534
